dataset,layer_id,num_tokens,min_entropy,mean_entropy,diversity_ratio,fragmentation_ratio,min_entropy_l2,mean_l2
kv_retrieval,16,100224,0.0000,0.3496,0.6155,0.7665,14.6875,15.5625
kv_retrieval,17,100224,0.0000,0.5234,0.7015,0.8051,16.6250,16.2500
kv_retrieval,18,100224,0.0000,0.9180,0.6839,0.8323,18.6250,18.8750
kv_retrieval,19,100224,0.0004,0.8281,0.7818,0.8091,16.1250,19.0000
kv_retrieval,20,100224,0.0000,0.5352,0.6030,0.8454,16.7500,17.0000
kv_retrieval,21,100224,0.0000,0.5977,0.6914,0.8002,19.2500,17.5000
kv_retrieval,22,100224,0.0000,0.5508,0.7238,0.8670,17.2500,15.8125
kv_retrieval,23,100224,0.0000,0.4375,0.7363,0.8723,21.0000,17.0000
kv_retrieval,24,100224,0.0000,0.5312,0.6521,0.8511,12.9375,18.8750
kv_retrieval,25,100224,0.0000,0.8242,0.8075,0.8884,19.8750,18.3750
kv_retrieval,26,100224,0.0002,0.7266,0.8641,0.9435,19.6250,18.1250
kv_retrieval,27,100224,0.0000,1.0234,0.8217,0.9097,57.0000,23.0000
kv_retrieval,0,150400,2.0781,7.3438,0.6920,0.8440,17.1250,19.8750
kv_retrieval,1,150400,1.1094,6.6562,0.8549,0.9641,15.9375,9.3750
kv_retrieval,2,150400,0.0060,2.9688,0.7232,0.9664,10.3125,10.8125
kv_retrieval,3,150400,0.2598,4.0625,0.8119,0.9680,12.0000,9.8125
kv_retrieval,4,150400,0.0000,0.7930,0.7665,0.9286,23.6250,21.8750
kv_retrieval,5,150400,0.0001,0.9414,0.7720,0.9592,26.7500,19.8750
kv_retrieval,6,150400,0.0003,2.0312,0.7623,0.9473,32.0000,20.2500
kv_retrieval,7,150400,0.0000,1.1406,0.7581,0.9209,18.5000,17.0000
kv_retrieval,8,150400,0.0011,1.2344,0.7081,0.9504,18.2500,22.1250
kv_retrieval,9,150400,0.0034,1.3750,0.7637,0.9488,16.3750,16.1250
kv_retrieval,10,150400,0.0003,1.3125,0.6911,0.9132,22.0000,22.5000
kv_retrieval,11,150400,0.0000,0.7539,0.5315,0.8651,37.2500,22.8750
kv_retrieval,12,150400,0.0000,1.2344,0.6808,0.8779,26.0000,18.5000
kv_retrieval,13,150400,0.0039,1.4219,0.6836,0.9253,24.7500,15.8125
kv_retrieval,14,150400,0.0000,0.4688,0.7444,0.9183,15.8750,18.0000
kv_retrieval,15,150400,0.0000,0.9375,0.7405,0.9209,25.5000,19.5000
